,K,Degree,Delta,F1,SS,Weights
1626,6,7,0.25,[0.455 0.523 0.426 0.404 0.491 0.358],0.1319337934281581,[0.3706569  0.15260723 0.11861922 0.11307455 0.11292101 0.13212109]
1627,6,7,0.5,[0.448 0.4   0.529 0.479 0.496 0.407],0.06107419323001485,[0.435023   0.09829549 0.11282378 0.09463259 0.10296381 0.15626133]
1628,6,7,1.0,[0.4   0.456 0.5   0.456 0.449 0.437],0.03626136271335864,[0.53274324 0.13413122 0.06920971 0.05971926 0.07662604 0.12757053]
1629,6,7,2.0,[0.365 0.459 0.504 0.382 0.53  0.448],-0.016198070088577085,[0.40170363 0.0895195  0.25489922 0.04300661 0.13250898 0.07836205]
1630,6,7,4.0,[0.33  0.152 0.219 0.135 0.289 0.42 ],-0.17980471896288094,[0.03788868 0.00293333 0.00213324 0.00532598 0.01139446 0.94032431]
1631,6,7,8.0,[0.45  0.154 0.161 0.063 0.137 0.554],-0.21488623007333127,[0.02800038 0.00266667 0.0016     0.00186667 0.00453333 0.96133295]
1632,6,8,0.0625,[0.411 0.483 0.45  0.509 0.505 0.396],0.4250242522587584,[0.21183689 0.35122078 0.10064335 0.07914232 0.14091714 0.11623953]
1633,6,8,0.125,[0.564 0.393 0.388 0.355 0.481 0.396],-0.08963734240231919,[0.42089447 0.10288374 0.17381192 0.11570466 0.0492322  0.13747301]
1634,6,8,0.25,[0.458 0.519 0.418 0.451 0.482 0.414],0.17205902899284115,[0.38108643 0.14062136 0.13029955 0.09593697 0.11087063 0.14118505]
1635,6,8,0.5,[0.4   0.444 0.475 0.474 0.509 0.411],0.08513619182586145,[0.44067029 0.141429   0.1347334  0.08157465 0.10036446 0.10122821]
1636,6,8,1.0,[0.437 0.512 0.508 0.436 0.475 0.393],0.013191194010790669,[0.48541766 0.15436615 0.08945999 0.07036978 0.11005547 0.09033096]
1637,6,8,2.0,[0.364 0.505 0.407 0.55  0.393 0.417],-0.06574989037484542,[0.23477056 0.07482582 0.37108564 0.06728388 0.12913135 0.12290275]
1638,6,8,4.0,[0.474 0.203 0.187 0.149 0.211 0.482],-0.2004629984869935,[0.02957491 0.00373333 0.00213333 0.00293333 0.00533332 0.95629177]
1639,6,8,8.0,[0.19  0.171 0.544 0.404 0.139 0.127],-0.230966216675359,[0.00186667 0.00399999 0.96026668 0.02773333 0.00426667 0.00186667]
1640,6,9,0.0625,[0.574 0.505 0.393 0.297 0.444 0.372],0.4064514660482039,[0.35301398 0.21505063 0.09606832 0.09999891 0.12391841 0.11194975]
1641,6,9,0.125,[0.553 0.415 0.385 0.365 0.466 0.321],0.2880963579781784,[0.36813956 0.15580423 0.14205947 0.11724403 0.07953811 0.1372146 ]
1642,6,9,0.25,[0.496 0.385 0.4   0.369 0.491 0.439],0.16828734745883164,[0.41523403 0.12399965 0.12736427 0.0812519  0.11215147 0.13999868]
1643,6,9,0.5,[0.4   0.45  0.441 0.464 0.512 0.378],0.07022011276080516,[0.42715811 0.15039898 0.10971702 0.07578172 0.13398848 0.10295569]
1644,6,9,1.0,[0.42  0.454 0.454 0.4   0.496 0.414],0.03069974243454504,[0.48937512 0.11568314 0.11129971 0.06893762 0.13443768 0.08026675]
1645,6,9,2.0,[0.308 0.467 0.496 0.379 0.517 0.462],-0.09408106108091761,[0.1169486  0.04115056 0.63762468 0.02170227 0.10125916 0.08131473]
1646,6,9,4.0,[0.446 0.257 0.469 0.156 0.179 0.292],-0.1999438075252492,[0.02863364 0.004      0.94868912 0.00213333 0.00586629 0.01067762]
1647,6,9,8.0,[0.185 0.209 0.116 0.442 0.187 0.522],-0.2144015164954216,[0.0024     0.0032     0.00346665 0.02853733 0.00506667 0.95732935]
1648,6,10,0.0625,[0.555 0.425 0.422 0.303 0.423 0.358],0.3966782679998666,[0.4018762  0.11416865 0.09985501 0.15442565 0.11464346 0.11503103]
1649,6,10,0.125,[0.571 0.491 0.347 0.388 0.392 0.324],0.2974495801771218,[0.37177777 0.13400197 0.16455218 0.11973273 0.08143472 0.12850063]
1650,6,10,0.25,[0.562 0.418 0.414 0.419 0.474 0.429],0.21600291450633755,[0.43585656 0.14388073 0.10870289 0.08026213 0.11974239 0.1115553 ]
1651,6,10,0.5,[0.442 0.452 0.404 0.542 0.463 0.414],0.06767992868185671,[0.45568933 0.16242251 0.07876681 0.05651108 0.11474471 0.13186557]
1652,6,10,1.0,[0.439 0.5   0.471 0.47  0.479 0.354],0.0005193378541016114,[0.4589275  0.15515211 0.12133194 0.05708161 0.12035949 0.08714735]
1653,6,10,2.0,[0.411 0.274 0.545 0.286 0.282 0.397],-0.14992206987259718,[0.0621046  0.00480001 0.84914349 0.01301245 0.00612993 0.06480951]
1654,6,10,4.0,[0.235 0.265 0.5   0.444 0.16  0.241],-0.20255167656342352,[0.0032     0.00346666 0.95037034 0.02909598 0.0056     0.00826702]
1655,6,10,8.0,[0.265 0.261 0.518 0.487 0.162 0.16 ],-0.20134806350122028,[0.0032     0.00373333 0.95333728 0.02879979 0.00533333 0.00559626]
1656,6,11,0.0625,[0.521 0.455 0.418 0.388 0.356 0.327],0.4038941205484241,[0.38349056 0.16260432 0.09823817 0.13680524 0.10746491 0.1113968 ]
1657,6,11,0.125,[0.567 0.462 0.292 0.476 0.43  0.323],-0.08993844751260979,[0.3765796  0.15250323 0.15809707 0.14479892 0.04909036 0.11893081]
1658,6,11,0.25,[0.526 0.414 0.393 0.43  0.46  0.455],0.21758984759472416,[0.43597602 0.13777241 0.09736152 0.08303416 0.12166644 0.12418945]
1659,6,11,0.5,[0.421 0.422 0.443 0.526 0.41  0.417],0.11224577468203245,[0.45310791 0.12967996 0.09361287 0.08818824 0.1161162  0.11929481]
1660,6,11,1.0,[0.443 0.46  0.492 0.456 0.454 0.393],0.006205467019711106,[0.44106165 0.15429071 0.13902938 0.05236063 0.12368337 0.08957426]
1661,6,11,2.0,[0.434 0.187 0.55  0.211 0.203 0.244],-0.16959941358927016,[0.05719756 0.00266667 0.91961312 0.00587391 0.00693354 0.0077152 ]
1662,6,11,4.0,[0.232 0.203 0.511 0.47  0.156 0.275],-0.1941381140624033,[0.00346667 0.00373333 0.9501452  0.02934148 0.00586598 0.00744734]
